City,Lat,Lng,Max_Temp,Cloudiness,Humidity,Wind_Speed,country,date
thiruvananthapuram,8.48,76.92,300.15,20,100,1.8,IN,1603147766
uberaba,-19.75,-47.93,294.04,100,87,4.33,BR,1603147766
bulaevo,54.91,70.44,281.57,100,73,3.6,KZ,1603147766
abnub,27.27,31.15,298.15,0,53,2.6,EG,1603147766
guerrero negro,27.98,-114.06,300.77,0,47,7.53,MX,1603147766
gushikawa,26.35,127.87,298.15,20,88,4.6,JP,1603147766
arraial do cabo,-22.97,-42.03,295.61,92,82,10.84,BR,1603147766
orgun,,,,,,,,
puebloviejo,10.99,-74.28,303.15,86,77,0.45,CO,1603147766
newtownards,54.59,-5.69,284.15,100,93,4.6,GB,1603147766
zhangye,38.93,100.45,278.23,20,57,0.97,CN,1603147766
mudgee,-32.59,149.59,290.15,11,67,3.6,AU,1603147766
coahuayana,18.73,-103.68,301.15,75,74,5.1,MX,1603147766
nykobing,,,,,,,,
keelung,25.13,121.74,297.04,75,88,4.6,TW,1603147766
sao joao da barra,-21.64,-41.05,295.8,100,82,6.06,BR,1603147767
sergeyevka,53.88,67.42,281.11,92,60,4.17,KZ,1603147767
khromtau,50.25,58.43,282.27,13,48,4.69,KZ,1603147767
warrnambool,-38.38,142.48,284.26,0,89,1.56,AU,1603147767
namatanai,-3.67,152.43,301.89,14,71,0.61,PG,1603147767
batouri,4.43,14.37,293.29,64,93,0.59,CM,1603147767
sulechow,52.08,15.63,280.37,12,42,1.66,PL,1603147767
tam ky,15.57,108.48,298.15,75,94,4.1,VN,1603147767
vallenar,-28.57,-70.76,291.63,0,38,1.25,CL,1603147767
ashdod,31.82,34.65,296.48,20,78,2.1,IL,1603147767
moroto,2.53,34.67,294.3,65,63,2,UG,1603147767
abu dhabi,24.47,54.37,299.15,0,74,1,AE,1603147767
seydi,39.48,62.91,286.19,0,33,4.05,TM,1603147767
fergus falls,46.28,-96.08,274.26,90,59,1.43,US,1603147767
mackay,-21.15,149.2,298.15,40,73,3.1,AU,1603147668
somerset west,-34.08,18.82,286.15,40,93,3.1,ZA,1603147767
zanesville,39.94,-82.01,287.15,90,93,2.1,US,1603147632
west bay,19.37,-81.42,301.48,20,78,2.6,KY,1603147767
san cristobal,7.77,-72.22,303.15,40,48,5.1,VE,1603147767
shevchenkove,49.7,37.17,277.15,1,93,3,UA,1603147767
progreso,21.28,-89.67,303.15,40,62,3.1,MX,1603147632
linxia,35.6,103.21,278.04,100,60,0.71,CN,1603147767
palabuhanratu,,,,,,,,
mursalimkino,55.04,58.56,281.29,87,89,1.55,RU,1603147767
zyryanka,65.75,150.85,264.34,82,96,2.89,RU,1603147767
half moon bay,37.46,-122.43,299.82,90,87,3.1,US,1603147767
great malvern,52.11,-2.33,284.82,100,83,0.89,GB,1603147767
alyangula,-13.85,136.42,300.15,55,83,3.1,AU,1603147767
batagay-alyta,67.8,130.41,262.78,100,90,0.72,RU,1603147767
finschhafen,-6.6,147.87,301.73,25,66,0.69,PG,1603147767
waingapu,-9.66,120.26,300.4,51,72,2.1,ID,1603147767
mujiayingzi,42.12,118.78,280.01,0,57,2.87,CN,1603147767
papar,5.73,115.93,297.15,20,94,1.5,MY,1603147768
opuwo,-18.06,13.84,292.45,0,31,2.18,NA,1603147768
kuusamo,65.97,29.18,272.15,75,86,4.1,FI,1603147768
zhigansk,66.77,123.37,264.79,100,96,4.91,RU,1603147704
zhenlai,45.85,123.3,280.63,37,56,5.33,CN,1603147768
malampaka,-3.13,33.53,296.25,35,59,1.56,TZ,1603147768
lokot,52.56,34.58,275.98,25,83,4.12,RU,1603147768
oussouye,12.48,-16.55,302.15,20,94,1,SN,1603147768
miri,4.41,114.01,297.15,40,94,1.5,MY,1603147768
znamenskoye,57.13,73.83,278.28,100,83,2.63,RU,1603147768
kokopo,-4.35,152.26,302.19,14,67,0.15,PG,1603147768
altenburg,50.98,12.45,278.15,41,86,2.6,DE,1603147768
wukari,7.85,9.78,297.52,51,88,2.08,NG,1603147768
tateyama,34.98,139.87,288.15,100,76,7.2,JP,1603147768
russell,32.35,-85.2,300.15,1,47,2.6,US,1603147483
pontianak,-0.03,109.33,298.18,85,90,1.4,ID,1603147617
salto,-31.38,-57.97,306.15,40,49,2.6,UY,1603147768
bubaque,11.28,-15.83,301.16,2,88,4.4,GW,1603147768
sorong,-0.88,131.25,299.34,100,81,3.91,ID,1603147527
roald,62.58,6.13,276.15,8,74,6.2,NO,1603147768
aksum,14.12,38.72,286.48,11,71,0.49,ET,1603147768
lichinga,-13.31,35.24,291.13,0,49,2.28,MZ,1603147768
agua blanca,14.5,-89.65,302.15,40,58,1.5,GT,1603147768
comodoro rivadavia,-45.87,-67.5,288.15,78,26,5.7,AR,1603147470
mahibadhoo,3.78,72.97,301,100,76,5.73,MV,1603147768
yurginskoye,56.82,67.39,277.49,64,91,2.39,RU,1603147768
aviles,43.55,-5.92,289.15,97,72,0.5,ES,1603147768
williamsburg,37.27,-76.71,294.15,40,82,2.56,US,1603147734
andenes,69.31,16.12,271.15,0,74,1.5,NO,1603147768
waipawa,-41.41,175.52,290.15,25,67,8.7,NZ,1603147768
rungata,,,,,,,,
kaeo,-35.1,173.78,291.87,100,63,4.61,NZ,1603147769
lanigan,51.85,-105.03,270.77,0,74,3.14,CA,1603147538
neiafu,-18.65,-173.98,299.15,40,69,4.6,TO,1603147769
maseru,-29.32,27.48,289.66,39,30,1.41,LS,1603147769
dhidhdhoo,6.88,73.1,300.47,13,78,5.78,MV,1603147694
nizhneyansk,,,,,,,,
cherskiy,68.75,161.3,266.14,14,94,1.54,RU,1603147769
atka,,,,,,,,
mandera,3.94,41.87,300.81,11,58,7.28,KE,1603147769
mahudha,22.82,72.93,301.15,20,88,0.77,IN,1603147638
pindwara,24.8,73.07,298.09,57,77,0.55,IN,1603147769
kupang,-10.17,123.58,296.15,20,78,1,ID,1603147769
enshi,30.3,109.48,286.67,100,85,1.42,CN,1603147769
doha,25.29,51.53,302.15,0,42,2.6,QA,1603147600
yerbogachen,61.28,108.01,268.89,99,94,5.39,RU,1603147769
chorbog,,,,,,,,
vanimo,-2.67,141.3,301.33,45,73,1.39,PG,1603147769
tabou,4.42,-7.35,298.31,78,82,3.01,CI,1603147769
yarim,14.3,44.38,282.62,0,46,2.13,YE,1603147769
pendencias,-5.26,-36.72,298.12,100,65,7.48,BR,1603147769
olafsvik,64.89,-23.71,277.11,88,74,3.58,IS,1603147769
hualmay,-11.1,-77.61,290.99,26,80,4.33,PE,1603147769
canutama,-6.53,-64.38,299.43,85,75,0.16,BR,1603147769
zalaegerszeg,46.84,16.84,280.15,57,87,1.5,HU,1603147769
morant bay,17.88,-76.41,300.15,75,78,9.8,JM,1603147484
kaseda,31.42,130.32,285.93,40,81,2.1,JP,1603147769
smila,49.22,31.89,278.68,0,86,2.95,UA,1603147769
jumla,29.27,82.18,281.59,0,55,2.22,NP,1603147769
teya,60.38,92.63,269.67,98,94,3.31,RU,1603147769
bud,39.45,-86.18,284.26,90,100,2.22,US,1603147769
kahului,20.89,-156.47,306.15,40,46,4.6,US,1603147563
azimur,,,,,,,,
tumannyy,,,,,,,,
celldomolk,47.26,17.15,282.15,47,70,2.1,HU,1603147769
tamandare,-8.76,-35.1,297.46,55,77,4.29,BR,1603147770
dwarka,22.24,68.97,301.92,5,78,4.09,IN,1603147770
oranjemund,-28.55,16.43,287.62,18,86,6.01,NA,1603147557
shimanovsk,52,127.7,272.5,62,92,4.37,RU,1603147770
malindi,-3.22,40.12,298.21,12,85,4.71,KE,1603147770
someshwar,13.5,75.07,298.15,40,88,0.27,IN,1603147770
bosaso,11.28,49.18,300.29,0,39,2.84,SO,1603147529
korla,41.76,86.15,279.82,0,85,1.2,CN,1603147770
jawhar,2.78,45.5,297.48,0,87,2.62,SO,1603147734
boo,59.33,18.28,273.15,60,86,2.1,SE,1603147770
guhagar,17.48,73.19,296.93,83,87,1.13,IN,1603147770
san juan,-31.54,-68.54,294.88,0,22,6.26,AR,1603147770
juazeiro,-9.41,-40.5,306.15,20,31,4.1,BR,1603147770
sao filipe,14.9,-24.5,301.46,28,65,1.62,CV,1603147770
qasigiannguit,68.82,-51.19,278.15,100,52,5.7,GL,1603147770
teneguiban,,,,,,,,
owando,-0.48,15.9,295.53,98,95,1.18,CG,1603147770
balgazyn,51,95.2,267.12,32,86,1.84,RU,1603147770
hyeres,43.12,6.12,287.59,20,93,1.5,FR,1603147770
takayama,36.13,137.25,285.15,40,81,1,JP,1603147770
meulaboh,4.14,96.13,297.63,75,83,1.87,ID,1603147479
monterey,36.25,-121.25,302.04,0,29,1.83,US,1603147770
tutoia,-2.76,-42.27,299.99,5,79,5.13,BR,1603147770
kralendijk,12.15,-68.27,303.15,40,74,7.7,BQ,1603147770
luwingu,-10.26,29.93,295.82,68,46,1.14,ZM,1603147770
san jose,37.34,-121.89,303.15,1,28,3.6,US,1603147483
moctezuma,29.8,-109.67,307.74,30,10,1.8,MX,1603147767
nyurba,63.28,118.33,266.58,61,97,3.62,RU,1603147770
awjilah,29.11,21.29,294.72,4,60,5.08,LY,1603147486
miramar,25.99,-80.23,300.37,75,83,9.3,US,1603147770
churapcha,62,132.43,259.76,96,95,1.82,RU,1603147770
porto murtinho,-21.7,-57.88,302.96,27,50,0.86,BR,1603147771
puerto madryn,-42.77,-65.04,288.46,0,32,6.25,AR,1603147717
constantine,36.37,6.61,283.15,0,71,1.61,DZ,1603147771
fukue,32.69,128.84,293.22,0,61,7.75,JP,1603147771
klaksvik,62.23,-6.59,277.15,14,86,2.6,FO,1603147713
bagan,54.1,77.66,277.82,100,65,5.54,RU,1603147771
port augusta,-32.5,137.77,290.93,100,77,1,AU,1603147771
aldan,58.6,125.39,268.71,100,98,2.1,RU,1603147771
hasaki,35.73,140.83,284.15,75,100,2.6,JP,1603147477
zhongshu,24.52,103.77,282.73,100,92,1.22,CN,1603147771
luchegorsk,46.48,134.26,276.07,0,78,0.83,RU,1603147771
winslow,35.02,-110.7,301.15,1,9,1.5,US,1603147556
warqla,,,,,,,,
isangel,-19.55,169.27,299.15,75,83,5.1,VU,1603147635
singarayakonda,15.25,80.03,299.83,100,84,3.23,IN,1603147771
nefteyugansk,61.1,72.6,273.15,75,98,4,RU,1603147771
chandbali,20.78,86.77,298.41,71,81,2.12,IN,1603147771
kitimat,54.05,-128.65,280.37,97,90,1.34,CA,1603147688
caranavi,-15.82,-67.55,293.47,73,83,0.52,BO,1603147771
balkanabat,39.51,54.37,287.06,0,36,0.19,TM,1603147732
boguchany,58.38,97.45,269.67,96,94,3.4,RU,1603147771
qiongshan,20.01,110.35,297.15,75,83,7,CN,1603147771
namtsy,62.72,129.67,258.15,40,84,1,RU,1603147771
mayo,38.89,-76.51,292.59,40,72,3.1,US,1603147544
bera,24.08,89.62,299.56,24,76,2.71,BD,1603147771
thunder bay,48.4,-89.32,274.82,98,64,2.05,CA,1603147714
havoysund,71,24.66,275.15,75,93,3.6,NO,1603147771
naze,28.37,129.48,297.15,40,83,8.7,JP,1603147771
nhulunbuy,-12.23,136.77,300.15,9,78,2.1,AU,1603147771
karakendzha,,,,,,,,
treinta y tres,-33.23,-54.38,296.35,0,72,1.53,UY,1603147771
miram shah,33.01,70.07,291.12,0,23,3.09,PK,1603147771
buin,-33.73,-70.75,297.15,100,31,3.1,CL,1603147481
we,,,,,,,,
juegang,32.32,121.19,289.47,0,69,3.09,CN,1603147771
severo-yeniseyskiy,60.37,93.04,267.79,99,97,3.76,RU,1603147772
jaisalmer,26.91,70.92,301.21,4,37,2.72,IN,1603147772
beloha,-25.17,45.05,290.55,0,92,1.58,MG,1603147772
talcahuano,-36.72,-73.12,287.15,0,67,8.7,CL,1603147673
faya,18.39,42.45,288.15,0,22,3.1,SA,1603147772
goma,-1.68,29.22,291.01,72,78,1.2,CD,1603147772
road town,18.42,-64.62,301.15,40,74,3.6,VG,1603147485
inirida,3.87,-67.92,299.3,87,79,0.73,CO,1603147497
solnechnyy,50.72,136.63,272.43,0,76,2.15,RU,1603147772
eureka,40.8,-124.16,289.26,90,93,4.3,US,1603147508
corinto,37.94,22.96,289.26,55,70,2.15,GR,1603147545
kaka,37.35,59.61,283.68,0,45,0.61,TM,1603147772
